x,y,jarvis_20m,elevation
-159.99812618385744,-0.35432909886007635,-471.43701171875,250-500 m
-159.99794647294402,-0.35432911835103115,-470.6960144042969,250-500 m
-159.99776676202075,-0.35432913783847764,-471.81298828125,250-500 m
-159.9975870510876,-0.3543291573224158,-472.2929992675781,250-500 m
-159.99740734014455,-0.3543291768028459,-472.35699462890625,250-500 m
-159.99722762919163,-0.3543291962797677,-474.4100036621094,250-500 m
-159.99704791822882,-0.3543292157531814,-476.8970031738281,250-500 m
-159.99686820725614,-0.3543292352230868,-478.5480041503906,250-500 m
-159.99668849627358,-0.354329254689484,-481.77801513671875,250-500 m
-159.99650878528118,-0.3543292741523729,-485.0610046386719,250-500 m
-159.99632907427886,-0.3543292936117537,-486.9159851074219,250-500 m
-159.9961493632667,-0.3543293130676262,-484.3500061035156,250-500 m
-159.99596965224467,-0.35432933251999055,-485.2690124511719,250-500 m
-159.9957899412128,-0.3543293519688467,-491.4010009765625,250-500 m
-159.995610230171,-0.3543293714141945,-496.2980041503906,250-500 m
-160.00387694733496,-0.35450939154133576,-499.5249938964844,250-500 m
-160.00369723673535,-0.3545094111545622,-497.7359924316406,250-500 m
-160.0035175261258,-0.3545094307642787,-496.2669982910156,250-500 m
-160.00333781550628,-0.3545094503704851,-495.4679870605469,250-500 m
-160.00315810487686,-0.3545094699731816,-493.98199462890625,250-500 m
-160.00297839423752,-0.35450948957236816,-492.2850036621094,250-500 m
-160.0027986835882,-0.35450950916804463,-492.2640075683594,250-500 m
-160.00261897292899,-0.35450952876021125,-495.8739929199219,250-500 m
-160.0024392622598,-0.3545095483488679,-498.37298583984375,250-500 m
-160.0022595515807,-0.3545095679340145,-487.343994140625,250-500 m
-160.0020798408917,-0.3545095875156512,-478.4549865722656,250-500 m
-160.00190013019272,-0.3545096070937779,-477.1029968261719,250-500 m
-160.00172041948383,-0.35450962666839453,-476.1709899902344,250-500 m
-160.00154070876505,-0.35450964623950126,-475.2250061035156,250-500 m
-160.00136099803635,-0.35450966580709803,-469.0360107421875,250-500 m
-160.00118128729767,-0.3545096853711848,-468.5769958496094,250-500 m
-160.00100157654913,-0.3545097049317614,-469.0639953613281,250-500 m
-160.00082186579067,-0.3545097244888283,-470.75299072265625,250-500 m
-160.0006421550223,-0.35450974404238506,-470.86700439453125,250-500 m
-160.000462444244,-0.3545097635924319,-469.46600341796875,250-500 m
-160.00028273345578,-0.35450978313896875,-473.1090087890625,250-500 m
-160.00010302265767,-0.3545098026819956,-474.5509948730469,250-500 m
-159.99992331184964,-0.35450982222151245,-473.6719970703125,250-500 m
-159.9997436010317,-0.3545098417575192,-470.66400146484375,250-500 m
-159.9995638902039,-0.3545098612900161,-467.9049987792969,250-500 m
-159.99938417936616,-0.35450988081900303,-467.9460144042969,250-500 m
-159.99920446851854,-0.3545099003444799,-468.0660095214844,250-500 m
-159.999024757661,-0.35450991986644675,-466.5469970703125,250-500 m
-159.99884504679358,-0.3545099393849036,-467.6679992675781,250-500 m
-159.99866533591626,-0.35450995889985054,-466.5060119628906,250-500 m
-159.99848562502902,-0.35450997841128734,-463.1109924316406,250-500 m
-159.99830591413195,-0.35450999791921434,-460.2279968261719,250-500 m
-159.99812620322496,-0.3545100174236313,-459.8800048828125,250-500 m
-159.99794649230807,-0.3545100369245382,-458.87298583984375,250-500 m
-159.9977667813813,-0.354510056421935,-459.02301025390625,250-500 m
-159.99758707044467,-0.35451007591582195,-459.9410095214844,250-500 m
-159.99740735949814,-0.3545100954061989,-460.4280090332031,250-500 m
-159.99722764854175,-0.3545101148930657,-462.2969970703125,250-500 m
-159.99704793757545,-0.3545101343764226,-463.7569885253906,250-500 m
-159.99686822659928,-0.35451015385626944,-466.7340087890625,250-500 m
-159.99668851561324,-0.35451017333260637,-470.9830017089844,250-500 m
-159.99650880461735,-0.3545101928054332,-473.8179931640625,250-500 m
-159.99632909361154,-0.35451021227475,-475.1700134277344,250-500 m
-159.99614938259592,-0.3545102317405569,-472.00201416015625,250-500 m
-159.99596967157038,-0.35451025120285373,-473.135009765625,250-500 m
-159.995789960535,-0.3545102706616406,-479.8590087890625,250-500 m
-159.99561024948974,-0.35451029011691737,-486.7980041503906,250-500 m
-159.99543053843465,-0.3545103095686841,-494.3169860839844,250-500 m
-160.0045958091369,-0.35469023125734017,-499.7139892578125,250-500 m
-160.00441609857359,-0.35469025089462314,-495.1239929199219,250-500 m
-160.00423638800032,-0.35469027052839436,-490.5830078125,250-500 m
-160.00405667741714,-0.3546902901586539,-488.4460144042969,250-500 m
-160.00387696682398,-0.3546903097854016,-489.6570129394531,250-500 m
-160.00369725622087,-0.35469032940863754,-487.5329895019531,250-500 m
-160.00351754560782,-0.3546903490283617,-484.1839904785156,250-500 m
-160.00333783498485,-0.3546903686445742,-483.17498779296875,250-500 m
-160.00315812435196,-0.3546903882572748,-481.8680114746094,250-500 m
-160.0029784137091,-0.35469040786646383,-479,250-500 m
-160.0027987030563,-0.35469042747214097,-478.5400085449219,250-500 m
-160.0026189923936,-0.35469044707430636,-480.8110046386719,250-500 m
-160.0024392817209,-0.35469046667295995,-484.4620056152344,250-500 m
-160.00225957103834,-0.35469048626810173,-476.3450012207031,250-500 m
-160.00207986034582,-0.35469050585973183,-469.2239990234375,250-500 m
-160.0019001496434,-0.35469052544785024,-466.8290100097656,250-500 m
-160.00172043893102,-0.3546905450324566,-463.281005859375,250-500 m
-160.00154072820874,-0.3546905646135515,-459.0840148925781,250-500 m
-160.0013610174765,-0.3546905841911345,-453.5780029296875,250-500 m
-160.0011813067344,-0.3546906037652056,-454.6210021972656,250-500 m
-160.00100159598236,-0.3546906233357652,-458.4119873046875,250-500 m
-160.0008218852204,-0.3546906429028127,-459.2330017089844,250-500 m
-160.00064217444853,-0.3546906624663487,-458.8290100097656,250-500 m
-160.00046246366674,-0.35469068202637283,-461.3689880371094,250-500 m
-160.00028275287505,-0.3546907015828851,-463.32598876953125,250-500 m
-160.00010304207345,-0.3546907211358857,-462.00799560546875,250-500 m
-159.99992333126195,-0.3546907406853745,-462.7770080566406,250-500 m
-159.9997436204405,-0.3546907602313514,-460.27301025390625,250-500 m
-159.9995639096092,-0.35469077977381663,-456.1130065917969,250-500 m
-159.99938419876798,-0.35469079931277,-455.5320129394531,250-500 m
-159.99920448791687,-0.35469081884821174,-455.2120056152344,250-500 m
-159.99902477705584,-0.3546908383801416,-454.135009765625,250-500 m
-159.99884506618494,-0.3546908579085596,-454.8689880371094,250-500 m
-159.99866535530415,-0.3546908774334659,-452.4549865722656,250-500 m
-159.99848564441345,-0.3546908969548604,-448.6400146484375,250-500 m
-159.99830593351285,-0.35469091647274303,-446.48699951171875,250-500 m
-159.9981262226024,-0.35469093598711404,-446.8160095214844,250-500 m
-159.99794651168202,-0.35469095549797314,-446.6990051269531,250-500 m
-159.99776680075175,-0.3546909750053205,-445.3869934082031,250-500 m
-159.99758708981165,-0.354690994509156,-445.4259948730469,250-500 m
-159.99740737886162,-0.3546910140094797,-445.8819885253906,250-500 m
-159.9972276679017,-0.35469103350629166,-448.37298583984375,250-500 m
-159.99704795693194,-0.3546910529995918,-450.2309875488281,250-500 m
-159.9968682459523,-0.3546910724893802,-452.718994140625,250-500 m
-159.99668853496277,-0.3546910919756567,-457.3699951171875,250-500 m
-159.99650882396335,-0.3546911114584215,-460.31298828125,250-500 m
-159.9963291129541,-0.35469113093767446,-459.3290100097656,250-500 m
-159.99614940193496,-0.3546911504134156,-458.40399169921875,250-500 m
-159.99596969090595,-0.3546911698856449,-462.7340087890625,250-500 m
-159.99578997986708,-0.3546911893543625,-468.6199951171875,250-500 m
-159.99561026881835,-0.3546912088195683,-475.4429931640625,250-500 m
-159.99543055775973,-0.3546912282812621,-483.66400146484375,250-500 m
-159.9952508466913,-0.35469124773944427,-490.6159973144531,250-500 m
-159.99507113561296,-0.35469126719411465,-495.08599853515625,250-500 m
-159.9948914245248,-0.3546912866452732,-499.57501220703125,250-500 m
-160.00459582864983,-0.3548711494612777,-491.7900085449219,250-500 m
-160.00441611808304,-0.35487116910857736,-483.427001953125,250-500 m
-160.00423640750628,-0.3548711887523635,-478.01800537109375,250-500 m
-160.00405669691958,-0.35487120839263614,-476.3659973144531,250-500 m
-160.00387698632295,-0.3548712280293953,-476.9410095214844,250-500 m
-160.00369727571635,-0.3548712476626408,-476.0140075683594,250-500 m
-160.00351756509983,-0.35487126729237267,-472.52801513671875,250-500 m
-160.00333785447336,-0.3548712869185911,-469.9440002441406,250-500 m
-160.00315814383694,-0.35487130654129595,-469.0799865722656,250-500 m
-160.0029784331906,-0.3548713261604873,-467.4169921875,250-500 m
-160.00279872253432,-0.354871345776165,-465.760986328125,250-500 m
-160.00261901186812,-0.3548713653883292,-466.7080078125,250-500 m
-160.00243930119197,-0.35487138499697984,-472.8059997558594,250-500 m
-160.0022595905059,-0.3548714046021169,-471.48699951171875,250-500 m
-160.00207987980988,-0.3548714242037403,-462.6709899902344,250-500 m
-160.00190016910398,-0.3548714438018503,-454.8320007324219,250-500 m
-160.00172045838812,-0.35487146339644665,-449.72900390625,250-500 m
-160.00154074766232,-0.35487148298752946,-445.0799865722656,250-500 m
-160.00136103692665,-0.35487150257509864,-443.9739990234375,250-500 m
-160.00118132618104,-0.35487152215915435,-443.92401123046875,250-500 m
-160.0010016154255,-0.35487154173969654,-444.73699951171875,250-500 m
-160.00082190466003,-0.354871561316725,-444.3169860839844,250-500 m
-160.0006421938847,-0.35487158089024,-443.66900634765625,250-500 m
-160.0004624830994,-0.3548716004602414,-448.1520080566406,250-500 m
-160.00028277230425,-0.35487162002672934,-449.3869934082031,250-500 m
-160.00010306149915,-0.3548716395897036,-446.78900146484375,250-500 m
-159.99992335068413,-0.35487165914916424,-447.1700134277344,250-500 m
-159.99974363985922,-0.35487167870511144,-446.2699890136719,250-500 m
-159.99956392902442,-0.35487169825754494,-442.8030090332031,250-500 m
-159.99938421817973,-0.35487171780646487,-441.5090026855469,250-500 m
-159.99920450732512,-0.3548717373518714,-441.49700927734375,250-500 m
-159.99902479646062,-0.35487175689376416,-440.677001953125,250-500 m
-159.99884508558623,-0.3548717764321434,-440.6679992675781,250-500 m
-159.99866537470191,-0.354871795967009,-438.8909912109375,250-500 m
-159.9984856638077,-0.3548718154983612,-435.22100830078125,250-500 m
-159.99830595290365,-0.3548718350261997,-432.07501220703125,250-500 m
-159.99812624198967,-0.3548718545505245,-428.4469909667969,250-500 m
-159.99794653106582,-0.3548718740713359,-424.69000244140625,250-500 m
-159.99776682013209,-0.3548718935886337,-425.156005859375,250-500 m
-159.99758710918846,-0.3548719131024179,-427.1780090332031,250-500 m
-159.99740739823497,-0.35487193261268846,-428.9119873046875,250-500 m
-159.9972276872716,-0.3548719521194455,-432.66900634765625,250-500 m
-159.99704797629832,-0.3548719716226888,-435.65301513671875,250-500 m
-159.9968682653152,-0.3548719911224187,-438.5920104980469,250-500 m
-159.99668855432216,-0.3548720106186349,-443.5660095214844,250-500 m
-159.99650884331928,-0.3548720301113376,-445.81298828125,250-500 m
-159.9963291323065,-0.35487204960052665,-444.4739990234375,250-500 m
-159.9961494212839,-0.35487206908620217,-445.6440124511719,250-500 m
-159.9959697102514,-0.3548720885683639,-451.39898681640625,250-500 m
-159.99578999920902,-0.35487210804701225,-457.11199951171875,250-500 m
-159.99561028815683,-0.3548721275221469,-463.56201171875,250-500 m
-159.9954305770947,-0.35487214699376807,-474.010009765625,250-500 m
-159.99525086602276,-0.35487216646187547,-479.885986328125,250-500 m
-159.99507115494097,-0.3548721859264694,-483.0880126953125,250-500 m
-159.9948914438493,-0.3548722053875497,-487.56298828125,250-500 m
-159.9947117327478,-0.35487222484511644,-492.3810119628906,250-500 m
-159.99453202163642,-0.3548722442991694,-493.2650146484375,250-500 m
-159.99435231051518,-0.354872263749709,-493.1820068359375,250-500 m
-159.99417259938414,-0.3548722831967349,-496.4630126953125,250-500 m
-160.0049552692834,-0.35505202833996424,-497.156005859375,250-500 m
-160.00477555873303,-0.3550520480043114,-490.60699462890625,250-500 m
-160.0045958481727,-0.3550520676651432,-480.09698486328125,250-500 m
-160.0044161376024,-0.35505208732245963,-472.96600341796875,250-500 m
-160.00423642702216,-0.35505210697626066,-469.4519958496094,250-500 m
-160.004056716432,-0.3550521266265464,-466.6050109863281,250-500 m
-160.00387700583184,-0.3550521462733168,-464.9949951171875,250-500 m
-160.00369729522177,-0.35505216591657185,-463.5769958496094,250-500 m
-160.00351758460175,-0.3550521855563116,-461.7640075683594,250-500 m
-160.0033378739718,-0.355052205192536,-458.9939880371094,250-500 m
-160.0031581633319,-0.35505222482524496,-455.8559875488281,250-500 m
-160.00297845268204,-0.3550522444544386,-455.2330017089844,250-500 m
-160.0027987420223,-0.35505226408011686,-453.82598876953125,250-500 m
-160.0026190313526,-0.35505228370228,-453.2030029296875,250-500 m
-160.00243932067295,-0.3550523033209276,-458.0899963378906,250-500 m
-160.00225960998338,-0.35505232293605987,-460.8299865722656,250-500 m
-160.0020798992839,-0.3550523425476767,-452.0979919433594,250-500 m
-160.00190018857447,-0.35505236215577834,-441.114990234375,250-500 m
-160.00172047785514,-0.3550523817603645,-435.4729919433594,250-500 m
-160.00154076712587,-0.3550524013614354,-431.8940124511719,250-500 m
-160.00136105638668,-0.35505242095899087,-430.50201416015625,250-500 m
-160.00118134563758,-0.3550524405530311,-427.9169921875,250-500 m
-160.00100163487855,-0.3550524601435558,-427.8900146484375,250-500 m
-160.0008219241096,-0.3550524797305652,-424.76800537109375,250-500 m
-160.00064221333076,-0.35505249931405936,-421.7330017089844,250-500 m
-160.000462502542,-0.3550525188940381,-425.57000732421875,250-500 m
-160.00028279174333,-0.3550525384705014,-430.7590026855469,250-500 m
-160.00010308093474,-0.35505255804344943,-431.7030029296875,250-500 m
-159.99992337011625,-0.355052577612882,-431.9360046386719,250-500 m
-159.99974365928787,-0.3550525971787992,-422.04901123046875,250-500 m
-159.99956394844955,-0.35505261674120114,-418.4739990234375,250-500 m
-159.99938423760136,-0.35505263630008776,-418.2770080566406,250-500 m
-159.99920452674326,-0.3550526558554589,-418.3479919433594,250-500 m
-159.99902481587526,-0.35505267540731467,-420.31500244140625,250-500 m
-159.99884510499737,-0.35505269495565506,-423.5870056152344,250-500 m
-159.9986653941096,-0.3550527145004802,-421.8290100097656,250-500 m
-159.9984856832119,-0.35505273404178983,-414.7760009765625,250-500 m
-159.99830597230434,-0.35505275357958416,-408.0570068359375,250-500 m
-159.9981262613869,-0.35505277311386313,-401.2829895019531,250-500 m
-159.99794655045955,-0.3550527926446267,-396.1910095214844,250-500 m
-159.9977668395223,-0.3550528121718749,-395.8599853515625,250-500 m
-159.9975871285752,-0.3550528316956077,-394.7829895019531,250-500 m
-159.9974074176182,-0.355052851215825,-399.9989929199219,250-500 m
-159.9972277066513,-0.3550528707325271,-407.0570068359375,250-500 m
-159.99704799567456,-0.35505289024571385,-417.4209899902344,250-500 m
-159.99686828468793,-0.35505290975538517,-426.30999755859375,250-500 m
-159.99668857369144,-0.35505292926154103,-430.7030029296875,250-500 m
-159.99650886268506,-0.3550529487641816,-432.5880126953125,250-500 m
-159.99632915166882,-0.3550529682633068,-432.2699890136719,250-500 m
-159.99614944064268,-0.35505298775891664,-434.23199462890625,250-500 m
-159.9959697296067,-0.3550530072510109,-440.62799072265625,250-500 m
-159.99579001856085,-0.3550530267395899,-446.6709899902344,250-500 m
-159.99561030750513,-0.3550530462246535,-451.9620056152344,250-500 m
-159.99543059643958,-0.3550530657062018,-461.5669860839844,250-500 m
-159.99525088536413,-0.3550530851842347,-466.5159912109375,250-500 m
-159.99507117427882,-0.3550531046587521,-470.385986328125,250-500 m
-159.99489146318368,-0.3550531241297542,-474.56201171875,250-500 m
-159.99471175207867,-0.35505314359724083,-477.80999755859375,250-500 m
-159.9945320409638,-0.3550531630612121,-478.7659912109375,250-500 m
-159.9943523298391,-0.355053182521668,-480.6990051269531,250-500 m
-159.99417261870454,-0.35505320197860846,-485.010986328125,250-500 m
-159.9939929075601,-0.3550532214320335,-487.9429931640625,250-500 m
-159.99381319640585,-0.35505324088194334,-489.8349914550781,250-500 m
-159.99363348524173,-0.35505326032833756,-493.2539978027344,250-500 m
-159.9934537740678,-0.3550532797712164,-496.3800048828125,250-500 m
-159.99327406288404,-0.35505329921058,-498.2340087890625,250-500 m
-160.00513499936713,-0.3552329268458343,-497.885986328125,250-500 m
-160.00495528882325,-0.3552329465237188,-488.8550109863281,250-500 m
-160.00477557826935,-0.3552329661980862,-480.6289978027344,250-500 m
-160.00459586770552,-0.35523298586893653,-470.0889892578125,250-500 m
-160.00441615713174,-0.35523300553626974,-462.19000244140625,250-500 m
