x,y,elevation
-176.48248875053335,0.21653151065447676,250-500 m
-176.48212817473672,0.21653151065447676,250-500 m
-176.4817675989401,0.21653151065447676,250-500 m
-176.48140702314348,0.21653151065447676,250-500 m
-176.48104644734687,0.21653151065447676,250-500 m
-176.48068587155024,0.21653151065447676,250-500 m
-176.48465220531307,0.2161709348578547,250-500 m
-176.48429162951646,0.2161709348578547,250-500 m
-176.48393105371983,0.2161709348578547,250-500 m
-176.48357047792322,0.2161709348578547,250-500 m
-176.4832099021266,0.2161709348578547,250-500 m
-176.48284932632995,0.2161709348578547,250-500 m
-176.48248875053335,0.2161709348578547,250-500 m
-176.48212817473672,0.2161709348578547,250-500 m
-176.4817675989401,0.2161709348578547,250-500 m
-176.48140702314348,0.2161709348578547,250-500 m
-176.48104644734687,0.2161709348578547,250-500 m
-176.48068587155024,0.2161709348578547,250-500 m
-176.4803252957536,0.2161709348578547,250-500 m
-176.479964719957,0.2161709348578547,250-500 m
-176.48465220531307,0.2158103590612327,250-500 m
-176.48429162951646,0.2158103590612327,250-500 m
-176.48393105371983,0.2158103590612327,250-500 m
-176.48357047792322,0.2158103590612327,250-500 m
-176.4832099021266,0.2158103590612327,250-500 m
-176.48284932632995,0.2158103590612327,250-500 m
-176.48248875053335,0.2158103590612327,250-500 m
-176.48212817473672,0.2158103590612327,250-500 m
-176.4817675989401,0.2158103590612327,250-500 m
-176.48140702314348,0.2158103590612327,250-500 m
-176.48104644734687,0.2158103590612327,250-500 m
-176.48068587155024,0.2158103590612327,250-500 m
-176.4803252957536,0.2158103590612327,250-500 m
-176.479964719957,0.2158103590612327,250-500 m
-176.47960414416036,0.2158103590612327,250-500 m
-176.47924356836376,0.2158103590612327,250-500 m
-176.48465220531307,0.21544978326461067,250-500 m
-176.48429162951646,0.21544978326461067,250-500 m
-176.48393105371983,0.21544978326461067,250-500 m
-176.48357047792322,0.21544978326461067,250-500 m
-176.4832099021266,0.21544978326461067,250-500 m
-176.48284932632995,0.21544978326461067,250-500 m
-176.48248875053335,0.21544978326461067,250-500 m
-176.48212817473672,0.21544978326461067,250-500 m
-176.4817675989401,0.21544978326461067,250-500 m
-176.48140702314348,0.21544978326461067,250-500 m
-176.48104644734687,0.21544978326461067,250-500 m
-176.48068587155024,0.21544978326461067,250-500 m
-176.4803252957536,0.21544978326461067,250-500 m
-176.479964719957,0.21544978326461067,250-500 m
-176.47960414416036,0.21544978326461067,250-500 m
-176.47924356836376,0.21544978326461067,250-500 m
-176.47888299256712,0.21544978326461067,250-500 m
-176.4850127811097,0.21508920746798865,250-500 m
-176.48465220531307,0.21508920746798865,250-500 m
-176.48429162951646,0.21508920746798865,250-500 m
-176.48393105371983,0.21508920746798865,250-500 m
-176.48357047792322,0.21508920746798865,250-500 m
-176.4832099021266,0.21508920746798865,250-500 m
-176.48284932632995,0.21508920746798865,250-500 m
-176.48248875053335,0.21508920746798865,250-500 m
-176.48212817473672,0.21508920746798865,250-500 m
-176.4817675989401,0.21508920746798865,250-500 m
-176.48140702314348,0.21508920746798865,250-500 m
-176.48104644734687,0.21508920746798865,250-500 m
-176.48068587155024,0.21508920746798865,250-500 m
-176.4803252957536,0.21508920746798865,250-500 m
-176.479964719957,0.21508920746798865,250-500 m
-176.47960414416036,0.21508920746798865,250-500 m
-176.47924356836376,0.21508920746798865,250-500 m
-176.47888299256712,0.21508920746798865,250-500 m
-176.47852241677052,0.21508920746798865,250-500 m
-176.47816184097388,0.21508920746798865,250-500 m
-176.48465220531307,0.21472863167136663,250-500 m
-176.48429162951646,0.21472863167136663,250-500 m
-176.48393105371983,0.21472863167136663,250-500 m
-176.48357047792322,0.21472863167136663,250-500 m
-176.4832099021266,0.21472863167136663,250-500 m
-176.48284932632995,0.21472863167136663,250-500 m
-176.48248875053335,0.21472863167136663,250-500 m
-176.48212817473672,0.21472863167136663,250-500 m
-176.4817675989401,0.21472863167136663,250-500 m
-176.48140702314348,0.21472863167136663,250-500 m
-176.48104644734687,0.21472863167136663,250-500 m
-176.48068587155024,0.21472863167136663,250-500 m
-176.4803252957536,0.21472863167136663,250-500 m
-176.479964719957,0.21472863167136663,250-500 m
-176.47960414416036,0.21472863167136663,250-500 m
-176.47924356836376,0.21472863167136663,250-500 m
-176.47888299256712,0.21472863167136663,250-500 m
